Summary,Issue Type,Priority,Description,Story Points,Epic Name,Epic Link,Sprint,Labels,Component/s
[TASK] Teste de carga — 140 veículos simultâneos em produção,Task,High,"Executar teste de carga realista com 140 rastreadores simulados em paralelo para validar comportamento do sistema em produção antes do go-live.

Cenários:
- Baseline: 140 veículos enviando telemetria a cada 30s por 2h
- Pico matinal: 140 veículos + 30% de eventos de velocidade entre 07h-09h
- Reconexão em massa: simular queda e reconexão de 50 rastreadores simultâneos

SLAs a validar:
- Latência GPS→push: P95 < 60s
- Dashboard load: < 3s com 140 veículos
- Throughput: > 500 eventos/s sem degradação

Ferramenta: k6 com script customizado para protocolo MQTT.",5,,,Sprint 5,qualidade performance,infra
[TASK] Revisão de segurança — OWASP Top 10 pré-go-live,Task,High,"Revisão estruturada de segurança cobrindo os riscos do OWASP Top 10 antes do go-live.

Escopo:
- A01 Broken Access Control: testar todos os endpoints com tokens de perfis diferentes
- A02 Cryptographic Failures: audit de dados em trânsito (TLS 1.2+) e em repouso (AES-256)
- A03 Injection: inputs de busca e filtros testados com payloads SQL/NoSQL injection
- A05 Security Misconfiguration: audit de permissões IAM, buckets S3, security groups
- A07 Auth Failures: rate limiting, brute force, token expiration

Output: relatório com findings e plano de remediação. Achados críticos bloqueiam o go-live.",5,,,Sprint 5,seguranca compliance,infra
[TASK] Adequação LGPD — revisão de dados pessoais e DPO sign-off,Task,High,"Garantir conformidade com a LGPD antes de go-live com dados de 140 motoristas.

Itens:
- Mapeamento de dados pessoais: quais dados são coletados, por quanto tempo, onde ficam
- Termo de consentimento claro apresentado ao motorista no primeiro login
- Implementar direito de exclusão: motorista pode solicitar remoção dos próprios dados
- Política de retenção: telemetria 24 meses, logs de audit 5 anos, dados pessoais 5 anos
- DPO sign-off: aprovação formal do encarregado de dados

Bloqueador: sign-off pendente. Aprovação necessária antes do go-live.",3,,,Sprint 5,compliance lgpd,infra
[TASK] Runbook de operações e playbook de incidentes,Task,Medium,"Documentar procedimentos operacionais para a equipe de Priya após go-live.

Conteúdo do runbook:
- Checklist de monitoramento diário (CloudWatch alarms, métricas de entrega push)
- Procedimento de rollback de deploy em < 10min
- Playbook de incidente P1: sistema de alertas offline
- Playbook de incidente P2: latência push > SLA
- Procedimento de onboarding de novo rastreador GPS
- Contatos de escalação: fornecedor Teltonika, suporte AWS, Marcus (consultoria)

Entregável: documento no Confluence + cartão resumo para sala de operações.",3,,,Sprint 5,documentacao,
[BUG-S5-01] Mapa não centraliza no veículo ao clicar em alerta (arrastado S4),Bug,Medium,Arrastado do Sprint 4 (BUG-S4-07). Implementação do estado global via Zustand. Fix: `useVehicleStore` com ação `selectVehicle(id)` — mapa reage via `useEffect`. Em progresso no Sprint 5.,,,,Sprint 5,bug em-progresso,dashboard
[BUG-S5-02] Score errado na troca de turno (arrastado S4),Bug,High,Arrastado do Sprint 4 (BUG-S4-08). Evento `driver.shift_change` implementado. App do motorista atualizado para solicitar PIN na troca de turno. Fix aguardando release do app (v2.1.0) e QA de aceitação com motoristas piloto.,,,,Sprint 5,bug em-progresso,score-comportamento
[BUG-S5-03] CSV com BOM para compatibilidade Excel Windows (arrastado S4),Bug,Low,Arrastado do Sprint 4 (BUG-S4-09). Fix de 3 linhas: adicionar BOM UTF-8 na geração do CSV. Aguardando merge do PR #142.,,,,Sprint 5,bug em-progresso,dashboard
US-04 | Sensor de Abertura de Baú,Story,High,"Como Carlos, quero detectar automaticamente a abertura do baú de carga fora dos pontos de entrega autorizados para prevenir furtos e acionar alertas em tempo real.

Critérios de aceite:
- Alerta gerado em até 30s após abertura não autorizada
- Notificação push para Carlos e Priya com localização no mapa
- Log de todas as aberturas com motorista, localização e horário
- Falsos positivos < 1% (sensor deve distinguir abertura de trepidação)

BLOQUEADO: requer mesmo hardware acelerômetro do US-03 (rastreador v2) — lead time 60 dias.
Desenvolvimento iniciado com mock no Sprint 5; integração real após chegada do hardware.",5,[EPIC] Segurança e Redução de Sinistros,[EPIC] Segurança e Redução de Sinistros,Sprint 5,bloqueado hardware,integracao-gps alertas-velocidade
US-09 | Sensor de Baú — Controle de Temperatura da Carga,Story,Medium,"Como Carlos, quero monitorar a temperatura do baú refrigerado em tempo real para garantir a integridade de cargas sensíveis e cumprir requisitos de ANVISA.

Critérios de aceite:
- Leitura de temperatura a cada 5 minutos com sensor IoT no baú
- Alerta imediato se temperatura sair da faixa configurada (ex: 2°C a 8°C para farmacêuticos)
- Log de temperatura com cadeia de custódia para auditorias regulatórias

Status: em avaliação. Hardware de sensor de baú não incluído no MVP. Potencial épico futuro se aprovado pela diretoria.

OKR: não mapeado para OKR atual. Requer descope formal antes de entrar no Sprint.",13,[EPIC] Manutenção Inteligente,,,backlog futuro hardware-dependente,integracao-gps
US-10 | Integração com Seguro por Telemetria (UBI),Story,Low,"Como Carlos, quero integrar os dados de comportamento do motorista com a seguradora para negociar desconto no prêmio do seguro baseado em telemetria (Usage-Based Insurance).

Critérios de aceite:
- Exportação mensal de relatório de comportamento no formato exigido pela seguradora
- Motoristas com score > 85 por 3 meses consecutivos elegíveis para desconto
- Consentimento explícito do motorista para compartilhamento com seguradora

Status: aguardando avaliação jurídica para LGPD e negociação com seguradora parceira. Backlog futuro — pós go-live.",8,[EPIC] Segurança e Redução de Sinistros,,,backlog futuro parceiro-externo,dashboard
[SPIKE DESCARTADO] Integração SAP PM para dados de manutenção,Task,Low,"DESCARTADO após POC no Sprint 3.

A integração via BAPI RFC não é viável no sandbox do parceiro por restrição de licença. Alternativa (IDoc export diário) foi avaliada mas tem latência de 24h — incompatível com a meta de alertas preditivos em tempo quase real.

Decisão: manter os dados de manutenção no RouteWise com importação manual mensal via Excel. Integração SAP completa movida para roadmap de longo prazo (pós-escala para 500+ veículos).

Documentação do spike arquivada em: Confluence > RouteWise > Decisões Técnicas > ADR-003.",,,,,backlog descartado spike,manutencao-preditiva
[TASK] Relatório de impacto semestral — OKR 1 e OKR 2,Task,Low,"Após 6 meses de go-live, consolidar relatório de impacto para diretoria.

Conteúdo:
- KR 1.1: índice de acidentes por excesso de velocidade (baseline pré-go-live, meta: -20%)
- KR 2.1: custo médio de manutenção corretiva por veículo (baseline pré-go-live, meta: -15%)
- ROI estimado vs custo do projeto

Data alvo: 6 meses após go-live.",3,,,,backlog pos-golive,
[SPIKE] Geofencing por tipo de carga e rota autorizada,Task,Low,"Investigar viabilidade de alertas de desvio de rota para cargas com restrições específicas.

Casos de uso:
- Carga perigosa: alerta se veículo entra em perímetro urbano não autorizado
- Carga farmacêutica: alerta se saiu da rota aprovada pela ANVISA
- Rastreamento de rota de trânsito aduaneiro

Questões técnicas:
- API de routing (Google Maps Platform vs OpenRouteService)
- Geofencing em tempo real: PostGIS vs biblioteca client-side
- Custo de processamento para 140 veículos com rota em tempo real

Output esperado: avaliação de custo/benefício e PoC de 1 rota.",5,[EPIC] Segurança e Redução de Sinistros,,,backlog spike futuro,integracao-gps alertas-velocidade
